Date,City,Region,PM2.5,PM10,NO2,CO,SO2,AQI,AQI_Bucket,Year,Month
2015-03-05,Agra,North,86,171,41,3.29,25,189,Moderate,2015,3
2015-03-06,Agra,North,113,200,55,4.22,23,231,Poor,2015,3
2015-03-08,Agra,North,102,177,54,4.02,21,223,Poor,2015,3
2015-03-08,Agra,North,66,157,41,2.65,21,178,Moderate,2015,3
2015-03-08,Agra,North,79,180,46,3.89,30,198,Moderate,2015,3
2015-03-09,Agra,North,105,190,55,3.78,27,215,Poor,2015,3
2015-03-09,Agra,North,98,184,54,3.78,23,197,Moderate,2015,3
2015-03-10,Agra,North,80,157,41,2.85,22,177,Moderate,2015,3
2015-03-12,Agra,North,95,158,47,3.5,36,214,Poor,2015,3
2015-03-13,Agra,North,87,194,50,3.02,20,201,Poor,2015,3
2015-03-17,Agra,North,88,167,48,3.62,26,195,Moderate,2015,3
2015-03-17,Agra,North,108,194,47,4.4,29,218,Poor,2015,3
2015-03-17,Agra,North,96,149,43,3.63,22,207,Poor,2015,3
2015-03-17,Agra,North,110,166,46,3.66,17,213,Poor,2015,3
2015-03-18,Agra,North,116,180,47,3.82,25,216,Poor,2015,3
2015-03-18,Agra,North,84,169,47,3.19,20,191,Moderate,2015,3
2015-03-20,Agra,North,100,167,46,3.24,19,192,Moderate,2015,3
2015-03-20,Agra,North,71,157,49,2.89,17,174,Moderate,2015,3
2015-03-23,Agra,North,97,198,47,3.46,30,205,Poor,2015,3
2015-03-23,Agra,North,99,161,43,3.88,23,188,Moderate,2015,3
2015-03-24,Agra,North,81,174,46,3.45,26,194,Moderate,2015,3
2015-03-24,Agra,North,86,189,38,3.41,19,199,Moderate,2015,3
2015-03-24,Agra,North,82,158,59,3.72,19,191,Moderate,2015,3
2015-03-25,Agra,North,96,173,48,4.1,31,213,Poor,2015,3
2015-03-26,Agra,North,97,197,49,3.61,24,221,Poor,2015,3
2015-03-26,Agra,North,113,210,50,4.14,29,236,Poor,2015,3
2015-03-27,Agra,North,101,183,46,4.05,19,219,Poor,2015,3
2015-04-01,Agra,North,82,185,37,2.79,21,174,Moderate,2015,4
2015-04-02,Agra,North,82,165,49,3.67,20,181,Moderate,2015,4
2015-04-06,Agra,North,89,173,51,4.04,28,199,Moderate,2015,4
2015-04-06,Agra,North,83,178,48,3.53,21,194,Moderate,2015,4
2015-04-08,Agra,North,89,166,51,2.67,26,187,Moderate,2015,4
2015-04-08,Agra,North,88,150,40,2.85,26,188,Moderate,2015,4
2015-04-08,Agra,North,80,155,47,3.38,26,183,Moderate,2015,4
2015-04-08,Agra,North,75,148,42,2.8,20,175,Moderate,2015,4
2015-04-08,Agra,North,75,149,51,3.41,16,177,Moderate,2015,4
2015-04-08,Agra,North,77,128,36,3.11,14,175,Moderate,2015,4
2015-04-09,Agra,North,67,127,36,2.74,17,148,Moderate,2015,4
2015-04-10,Agra,North,93,175,42,3.68,22,187,Moderate,2015,4
2015-04-13,Agra,North,117,163,44,3.62,16,194,Moderate,2015,4
2015-04-16,Agra,North,79,155,42,3.2,25,187,Moderate,2015,4
2015-04-16,Agra,North,92,162,49,3.67,18,187,Moderate,2015,4
2015-04-17,Agra,North,76,139,31,2.57,19,163,Moderate,2015,4
2015-04-17,Agra,North,74,175,40,2.89,23,181,Moderate,2015,4
2015-04-17,Agra,North,84,188,44,3.34,22,193,Moderate,2015,4
2015-04-19,Agra,North,95,209,50,3.76,26,211,Poor,2015,4
2015-04-20,Agra,North,75,144,36,3.17,16,173,Moderate,2015,4
2015-04-24,Agra,North,64,152,33,3.29,19,161,Moderate,2015,4
2015-04-25,Agra,North,90,151,41,3.34,22,179,Moderate,2015,4
2015-04-26,Agra,North,85,177,50,4.06,23,206,Poor,2015,4
2015-05-01,Agra,North,77,133,40,3.03,23,168,Moderate,2015,5
2015-05-02,Agra,North,62,134,37,2.89,17,163,Moderate,2015,5
2015-05-02,Agra,North,69,118,39,2.84,17,151,Moderate,2015,5
2015-05-03,Agra,North,61,164,36,3.2,15,152,Moderate,2015,5
2015-05-04,Agra,North,95,139,40,2.57,24,177,Moderate,2015,5
2015-05-10,Agra,North,82,154,45,2.4,23,174,Moderate,2015,5
2015-05-10,Agra,North,67,121,29,2.64,13,144,Moderate,2015,5
2015-05-10,Agra,North,61,151,40,3.37,18,168,Moderate,2015,5
2015-05-11,Agra,North,63,132,34,2.82,11,144,Moderate,2015,5
2015-05-11,Agra,North,70,142,38,2.53,20,159,Moderate,2015,5
2015-05-12,Agra,North,75,153,42,2.66,23,157,Moderate,2015,5
2015-05-13,Agra,North,68,152,32,2.92,23,169,Moderate,2015,5
2015-05-14,Agra,North,76,149,35,2.26,22,148,Moderate,2015,5
2015-05-14,Agra,North,70,151,42,2.74,22,167,Moderate,2015,5
2015-05-16,Agra,North,92,131,42,3.03,19,162,Moderate,2015,5
2015-05-16,Agra,North,74,165,38,3.19,25,168,Moderate,2015,5
2015-05-16,Agra,North,58,112,23,2.59,16,125,Moderate,2015,5
2015-05-18,Agra,North,68,136,34,2.57,20,157,Moderate,2015,5
2015-05-19,Agra,North,61,116,26,2.85,19,143,Moderate,2015,5
2015-05-19,Agra,North,82,167,34,2.71,24,175,Moderate,2015,5
2015-05-20,Agra,North,69,145,31,3.43,12,168,Moderate,2015,5
2015-05-21,Agra,North,91,185,47,2.99,15,195,Moderate,2015,5
2015-05-21,Agra,North,73,141,37,3.14,16,157,Moderate,2015,5
2015-05-21,Agra,North,68,155,40,3.13,25,176,Moderate,2015,5
2015-05-24,Agra,North,85,144,41,2.76,19,184,Moderate,2015,5
2015-05-24,Agra,North,82,181,41,3.03,20,172,Moderate,2015,5
2015-05-25,Agra,North,62,136,31,2.73,14,159,Moderate,2015,5
2015-05-26,Agra,North,74,125,39,3.23,23,160,Moderate,2015,5
2015-06-01,Agra,North,51,122,32,2.52,17,137,Moderate,2015,6
2015-06-03,Agra,North,47,108,26,2.61,13,131,Moderate,2015,6
2015-06-05,Agra,North,63,98,35,3.05,26,145,Moderate,2015,6
2015-06-05,Agra,North,52,102,24,1.99,11,113,Moderate,2015,6
2015-06-05,Agra,North,62,97,29,2.0,11,128,Moderate,2015,6
2015-06-07,Agra,North,67,112,28,2.16,7,135,Moderate,2015,6
2015-06-07,Agra,North,74,144,41,2.63,22,160,Moderate,2015,6
2015-06-07,Agra,North,60,69,17,1.89,13,103,Moderate,2015,6
2015-06-08,Agra,North,62,153,43,2.83,16,156,Moderate,2015,6
2015-06-09,Agra,North,50,117,37,2.69,15,131,Moderate,2015,6
2015-06-10,Agra,North,65,94,21,2.34,12,127,Moderate,2015,6
2015-06-10,Agra,North,63,164,28,2.82,16,150,Moderate,2015,6
2015-06-10,Agra,North,43,112,33,2.03,11,115,Moderate,2015,6
2015-06-10,Agra,North,58,129,37,3.04,14,145,Moderate,2015,6
2015-06-13,Agra,North,65,117,30,1.71,11,124,Moderate,2015,6
2015-06-13,Agra,North,37,92,27,2.05,9,118,Moderate,2015,6
2015-06-14,Agra,North,56,138,20,2.28,10,127,Moderate,2015,6
2015-06-16,Agra,North,70,128,39,2.71,14,143,Moderate,2015,6
2015-06-17,Agra,North,60,106,26,2.5,14,136,Moderate,2015,6
2015-06-18,Agra,North,71,124,38,2.41,17,144,Moderate,2015,6
2015-06-18,Agra,North,43,113,42,2.41,12,130,Moderate,2015,6
2015-06-19,Agra,North,49,108,30,2.07,10,118,Moderate,2015,6
2015-06-19,Agra,North,60,119,21,2.62,22,131,Moderate,2015,6
2015-06-23,Agra,North,58,156,32,3.11,16,147,Moderate,2015,6
2015-06-26,Agra,North,51,142,37,2.91,22,147,Moderate,2015,6
2015-06-27,Agra,North,57,94,31,2.36,17,113,Moderate,2015,6
2015-06-27,Agra,North,53,121,32,2.17,18,141,Moderate,2015,6
2015-07-01,Agra,North,47,100,23,1.92,16,116,Moderate,2015,7
2015-07-02,Agra,North,61,111,29,1.96,9,126,Moderate,2015,7
2015-07-03,Agra,North,66,114,25,2.78,16,133,Moderate,2015,7
2015-07-04,Agra,North,53,107,29,2.06,22,128,Moderate,2015,7
2015-07-05,Agra,North,38,91,25,1.85,10,112,Moderate,2015,7
2015-07-05,Agra,North,58,101,36,2.21,19,120,Moderate,2015,7
2015-07-07,Agra,North,56,113,38,2.29,9,115,Moderate,2015,7
2015-07-07,Agra,North,37,84,22,1.69,1,108,Moderate,2015,7
2015-07-08,Agra,North,50,78,19,2.21,5,108,Moderate,2015,7
2015-07-08,Agra,North,71,117,29,2.01,20,129,Moderate,2015,7
2015-07-09,Agra,North,62,128,38,2.5,20,132,Moderate,2015,7
2015-07-09,Agra,North,69,141,32,2.71,10,136,Moderate,2015,7
2015-07-09,Agra,North,57,124,29,2.35,11,120,Moderate,2015,7
2015-07-09,Agra,North,77,104,35,3.12,19,143,Moderate,2015,7
2015-07-10,Agra,North,56,92,32,2.24,11,112,Moderate,2015,7
2015-07-10,Agra,North,50,116,24,2.21,17,131,Moderate,2015,7
2015-07-13,Agra,North,39,88,26,1.78,7,100,Satisfactory,2015,7
2015-07-14,Agra,North,57,124,33,1.74,22,129,Moderate,2015,7
2015-07-15,Agra,North,47,107,26,2.29,20,126,Moderate,2015,7
2015-07-15,Agra,North,69,116,33,3.03,20,134,Moderate,2015,7
2015-07-15,Agra,North,68,130,21,2.06,19,126,Moderate,2015,7
2015-07-15,Agra,North,69,111,31,2.38,14,140,Moderate,2015,7
2015-07-16,Agra,North,38,88,24,1.75,15,108,Moderate,2015,7
2015-07-17,Agra,North,61,122,30,2.07,9,130,Moderate,2015,7
2015-07-22,Agra,North,63,125,30,2.67,23,151,Moderate,2015,7
2015-07-23,Agra,North,69,110,26,2.46,15,117,Moderate,2015,7
2015-07-23,Agra,North,61,118,26,2.22,8,112,Moderate,2015,7
2015-07-25,Agra,North,73,94,28,2.72,13,136,Moderate,2015,7
2015-07-26,Agra,North,49,94,25,2.42,14,106,Moderate,2015,7
2015-07-26,Agra,North,64,93,28,1.79,13,117,Moderate,2015,7
2015-07-26,Agra,North,54,65,28,1.05,17,94,Satisfactory,2015,7
2015-07-27,Agra,North,62,117,21,2.58,14,131,Moderate,2015,7
2015-08-01,Agra,North,53,76,22,2.76,8,115,Moderate,2015,8
2015-08-02,Agra,North,63,119,35,2.11,12,128,Moderate,2015,8
2015-08-02,Agra,North,35,97,14,1.71,17,110,Moderate,2015,8
2015-08-03,Agra,North,67,125,44,2.87,13,147,Moderate,2015,8
2015-08-06,Agra,North,59,101,35,2.81,12,133,Moderate,2015,8
2015-08-07,Agra,North,69,109,32,2.39,17,132,Moderate,2015,8
2015-08-08,Agra,North,61,145,37,2.7,21,149,Moderate,2015,8
2015-08-12,Agra,North,60,135,27,2.41,22,140,Moderate,2015,8
2015-08-15,Agra,North,58,121,29,2.51,12,141,Moderate,2015,8
2015-08-15,Agra,North,69,118,30,2.35,12,128,Moderate,2015,8
2015-08-16,Agra,North,69,117,32,2.12,22,143,Moderate,2015,8
2015-08-16,Agra,North,35,87,21,1.55,9,86,Satisfactory,2015,8
2015-08-16,Agra,North,53,110,20,1.91,18,129,Moderate,2015,8
2015-08-17,Agra,North,37,121,28,2.26,14,123,Moderate,2015,8
2015-08-19,Agra,North,50,136,34,2.25,10,133,Moderate,2015,8
2015-08-19,Agra,North,62,85,34,2.4,10,127,Moderate,2015,8
2015-08-19,Agra,North,54,87,38,2.76,15,128,Moderate,2015,8
2015-08-19,Agra,North,65,101,38,2.24,20,138,Moderate,2015,8
2015-08-20,Agra,North,65,110,38,1.78,21,134,Moderate,2015,8
2015-08-21,Agra,North,76,114,38,2.61,17,151,Moderate,2015,8
2015-08-21,Agra,North,64,123,26,2.19,13,123,Moderate,2015,8
2015-08-23,Agra,North,74,127,34,2.95,18,149,Moderate,2015,8
2015-08-23,Agra,North,56,110,30,2.84,15,124,Moderate,2015,8
2015-08-27,Agra,North,67,124,21,1.96,15,124,Moderate,2015,8
2015-09-02,Agra,North,70,139,41,2.49,22,155,Moderate,2015,9
2015-09-02,Agra,North,67,137,40,2.91,14,151,Moderate,2015,9
2015-09-03,Agra,North,68,136,32,3.09,20,160,Moderate,2015,9
2015-09-04,Agra,North,78,136,45,2.68,9,147,Moderate,2015,9
2015-09-05,Agra,North,64,109,32,2.48,17,148,Moderate,2015,9
2015-09-07,Agra,North,57,123,44,2.54,17,147,Moderate,2015,9
2015-09-07,Agra,North,51,135,40,3.04,16,141,Moderate,2015,9
2015-09-08,Agra,North,59,130,25,2.08,20,144,Moderate,2015,9
2015-09-10,Agra,North,68,143,36,3.19,18,172,Moderate,2015,9
2015-09-10,Agra,North,80,163,33,3.37,18,168,Moderate,2015,9
2015-09-13,Agra,North,64,144,33,2.75,21,164,Moderate,2015,9
2015-09-14,Agra,North,64,120,38,2.58,17,129,Moderate,2015,9
2015-09-14,Agra,North,72,146,36,2.98,20,176,Moderate,2015,9
2015-09-14,Agra,North,86,141,36,2.56,18,164,Moderate,2015,9
2015-09-16,Agra,North,74,149,45,3.04,25,166,Moderate,2015,9
2015-09-18,Agra,North,79,152,37,2.86,23,163,Moderate,2015,9
2015-09-19,Agra,North,92,144,41,3.28,19,177,Moderate,2015,9
2015-09-19,Agra,North,64,142,35,3.2,10,150,Moderate,2015,9
2015-09-20,Agra,North,69,132,32,2.92,30,151,Moderate,2015,9
2015-09-21,Agra,North,61,114,37,1.82,14,138,Moderate,2015,9
2015-09-22,Agra,North,52,143,45,2.94,23,166,Moderate,2015,9
2015-09-22,Agra,North,79,138,36,2.88,21,154,Moderate,2015,9
2015-10-01,Agra,North,97,194,43,3.37,28,211,Poor,2015,10
2015-10-03,Agra,North,100,194,51,4.24,32,223,Poor,2015,10
2015-10-04,Agra,North,102,195,55,4.13,23,213,Poor,2015,10
2015-10-05,Agra,North,86,182,38,3.61,23,209,Poor,2015,10
2015-10-06,Agra,North,105,202,59,3.71,26,217,Poor,2015,10
2015-10-06,Agra,North,93,159,51,3.83,20,206,Poor,2015,10
2015-10-08,Agra,North,90,169,39,3.68,28,204,Poor,2015,10
2015-10-08,Agra,North,115,191,49,3.41,21,211,Poor,2015,10
2015-10-09,Agra,North,112,192,44,3.9,27,218,Poor,2015,10
2015-10-09,Agra,North,102,168,52,3.69,25,214,Poor,2015,10
2015-10-11,Agra,North,85,148,37,3.52,24,187,Moderate,2015,10
2015-10-11,Agra,North,86,157,46,3.27,23,196,Moderate,2015,10
2015-10-13,Agra,North,93,167,52,3.86,27,204,Poor,2015,10
2015-10-13,Agra,North,99,182,50,3.99,19,210,Poor,2015,10
2015-10-14,Agra,North,71,137,37,2.97,17,167,Moderate,2015,10
2015-10-16,Agra,North,104,233,55,4.67,26,231,Poor,2015,10
2015-10-17,Agra,North,77,186,47,3.29,32,201,Poor,2015,10
2015-10-19,Agra,North,96,205,45,4.0,14,207,Poor,2015,10
2015-10-21,Agra,North,85,176,46,3.23,22,190,Moderate,2015,10
2015-10-23,Agra,North,97,171,43,3.55,33,208,Poor,2015,10
2015-10-23,Agra,North,93,170,42,3.26,24,201,Poor,2015,10
2015-10-26,Agra,North,108,200,54,3.76,27,227,Poor,2015,10
2015-10-26,Agra,North,99,166,36,3.45,16,205,Poor,2015,10
2015-10-27,Agra,North,106,196,56,4.38,30,235,Poor,2015,10
2015-11-01,Agra,North,104,206,61,3.77,22,234,Poor,2015,11
2015-11-01,Agra,North,111,236,74,5.06,33,269,Poor,2015,11
2015-11-02,Agra,North,112,215,61,4.29,25,236,Poor,2015,11
2015-11-04,Agra,North,109,214,60,5.13,26,253,Poor,2015,11
2015-11-05,Agra,North,126,196,62,4.38,25,241,Poor,2015,11
2015-11-05,Agra,North,112,187,55,3.43,22,220,Poor,2015,11
2015-11-05,Agra,North,93,232,55,4.16,30,238,Poor,2015,11
2015-11-06,Agra,North,106,214,52,4.28,35,229,Poor,2015,11
2015-11-06,Agra,North,112,220,49,4.66,26,239,Poor,2015,11
2015-11-08,Agra,North,114,203,58,4.92,38,253,Poor,2015,11
2015-11-09,Agra,North,101,248,59,4.28,26,241,Poor,2015,11
2015-11-09,Agra,North,118,187,58,4.82,29,239,Poor,2015,11
2015-11-12,Agra,North,123,227,61,4.47,28,255,Poor,2015,11
2015-11-15,Agra,North,101,207,53,4.21,31,245,Poor,2015,11
2015-11-15,Agra,North,117,227,64,4.63,23,261,Poor,2015,11
2015-11-16,Agra,North,112,215,54,4.02,28,246,Poor,2015,11
2015-11-16,Agra,North,120,188,60,4.25,28,233,Poor,2015,11
2015-11-16,Agra,North,108,200,60,4.37,25,228,Poor,2015,11
2015-11-17,Agra,North,85,186,55,3.7,35,218,Poor,2015,11
2015-11-20,Agra,North,110,232,72,4.49,32,262,Poor,2015,11
2015-11-21,Agra,North,115,221,56,3.9,30,242,Poor,2015,11
2015-11-22,Agra,North,97,213,56,4.18,31,231,Poor,2015,11
2015-11-23,Agra,North,112,202,51,4.07,35,228,Poor,2015,11
2015-11-24,Agra,North,92,193,49,4.21,26,225,Poor,2015,11
2015-11-25,Agra,North,123,210,59,5.07,36,262,Poor,2015,11
2015-11-26,Agra,North,101,219,63,3.92,36,243,Poor,2015,11
2015-11-27,Agra,North,111,246,54,4.91,38,251,Poor,2015,11
2015-12-01,Agra,North,120,243,72,4.63,35,282,Poor,2015,12
2015-12-01,Agra,North,118,215,65,4.63,32,251,Poor,2015,12
2015-12-02,Agra,North,110,187,63,4.36,30,233,Poor,2015,12
2015-12-03,Agra,North,102,197,59,4.11,33,241,Poor,2015,12
2015-12-03,Agra,North,120,234,65,5.34,37,260,Poor,2015,12
2015-12-04,Agra,North,113,237,58,4.25,29,270,Poor,2015,12
2015-12-04,Agra,North,117,220,60,4.73,32,280,Poor,2015,12
2015-12-05,Agra,North,119,215,73,4.52,26,266,Poor,2015,12
2015-12-07,Agra,North,118,225,50,4.99,24,250,Poor,2015,12
2015-12-08,Agra,North,115,239,62,4.76,30,254,Poor,2015,12
2015-12-09,Agra,North,135,213,60,4.45,40,266,Poor,2015,12
2015-12-09,Agra,North,106,228,65,4.94,30,266,Poor,2015,12
2015-12-12,Agra,North,119,213,61,4.21,32,250,Poor,2015,12
2015-12-13,Agra,North,141,232,68,5.72,32,281,Poor,2015,12
2015-12-13,Agra,North,135,238,69,4.87,30,272,Poor,2015,12
2015-12-15,Agra,North,97,222,64,4.32,29,258,Poor,2015,12
2015-12-18,Agra,North,103,195,62,4.68,32,257,Poor,2015,12
2015-12-18,Agra,North,124,214,64,5.17,36,253,Poor,2015,12
2015-12-18,Agra,North,129,233,70,5.12,30,279,Poor,2015,12
2015-12-22,Agra,North,113,219,55,4.36,24,248,Poor,2015,12
2015-12-22,Agra,North,121,202,63,4.05,28,250,Poor,2015,12
2015-12-24,Agra,North,114,229,53,4.25,23,253,Poor,2015,12
2015-12-24,Agra,North,127,243,59,5.17,34,285,Poor,2015,12
2016-01-01,Agra,North,122,245,66,4.24,34,268,Poor,2016,1
2016-01-03,Agra,North,107,213,54,4.01,26,241,Poor,2016,1
2016-01-04,Agra,North,114,234,57,4.45,32,246,Poor,2016,1
2016-01-06,Agra,North,114,197,56,4.34,22,236,Poor,2016,1
2016-01-08,Agra,North,115,223,55,4.21,29,259,Poor,2016,1
2016-01-09,Agra,North,103,204,62,4.47,22,244,Poor,2016,1
2016-01-10,Agra,North,123,232,71,3.83,34,261,Poor,2016,1
2016-01-10,Agra,North,85,185,55,3.75,15,210,Poor,2016,1
2016-01-11,Agra,North,105,215,56,4.44,31,243,Poor,2016,1
2016-01-13,Agra,North,100,201,58,4.37,24,243,Poor,2016,1
2016-01-14,Agra,North,132,227,59,5.05,29,261,Poor,2016,1
2016-01-14,Agra,North,129,262,66,5.08,33,281,Poor,2016,1
2016-01-16,Agra,North,105,192,52,4.45,25,233,Poor,2016,1
2016-01-16,Agra,North,120,239,62,5.05,37,262,Poor,2016,1
2016-01-17,Agra,North,102,177,48,3.45,19,208,Poor,2016,1
2016-01-18,Agra,North,120,224,63,4.98,29,254,Poor,2016,1
2016-01-18,Agra,North,105,223,63,4.36,32,242,Poor,2016,1
2016-01-18,Agra,North,111,241,57,4.93,23,254,Poor,2016,1
2016-01-18,Agra,North,127,235,64,5.0,32,260,Poor,2016,1
2016-01-18,Agra,North,120,227,64,4.46,29,257,Poor,2016,1
2016-01-20,Agra,North,88,212,51,3.85,28,239,Poor,2016,1
2016-01-21,Agra,North,135,231,53,3.86,28,255,Poor,2016,1
2016-01-22,Agra,North,98,195,54,4.16,26,231,Poor,2016,1
2016-01-23,Agra,North,116,231,61,4.75,27,256,Poor,2016,1
2016-01-25,Agra,North,112,200,50,4.29,28,230,Poor,2016,1
2016-01-27,Agra,North,124,203,64,3.94,28,240,Poor,2016,1
2016-01-27,Agra,North,119,231,67,4.45,35,256,Poor,2016,1
2016-02-02,Agra,North,106,209,51,4.23,26,246,Poor,2016,2
2016-02-02,Agra,North,114,197,52,3.8,28,232,Poor,2016,2
2016-02-03,Agra,North,93,203,59,3.94,24,235,Poor,2016,2
2016-02-05,Agra,North,108,201,52,3.98,28,222,Poor,2016,2
2016-02-07,Agra,North,120,205,51,4.27,40,237,Poor,2016,2
2016-02-08,Agra,North,115,201,59,3.96,25,234,Poor,2016,2
2016-02-08,Agra,North,104,219,55,4.52,28,245,Poor,2016,2
2016-02-08,Agra,North,104,205,58,3.98,26,225,Poor,2016,2
2016-02-11,Agra,North,120,218,66,4.17,26,250,Poor,2016,2
2016-02-13,Agra,North,134,226,57,4.75,32,255,Poor,2016,2
2016-02-13,Agra,North,88,193,57,3.42,24,210,Poor,2016,2
2016-02-14,Agra,North,93,203,67,4.51,32,233,Poor,2016,2
2016-02-14,Agra,North,113,190,58,4.07,28,239,Poor,2016,2
2016-02-14,Agra,North,112,218,61,4.72,21,255,Poor,2016,2
2016-02-16,Agra,North,97,210,58,4.33,25,226,Poor,2016,2
2016-02-16,Agra,North,122,205,73,4.47,33,258,Poor,2016,2
2016-02-17,Agra,North,95,214,52,4.15,22,218,Poor,2016,2
2016-02-17,Agra,North,102,183,49,4.15,30,223,Poor,2016,2
2016-02-18,Agra,North,82,177,60,3.65,26,211,Poor,2016,2
2016-02-19,Agra,North,101,171,51,4.02,22,214,Poor,2016,2
2016-02-20,Agra,North,117,198,55,4.77,28,234,Poor,2016,2
2016-02-21,Agra,North,105,205,60,4.24,29,240,Poor,2016,2
2016-02-21,Agra,North,101,177,49,4.05,17,210,Poor,2016,2
2016-02-21,Agra,North,90,171,53,3.8,28,204,Poor,2016,2
2016-02-22,Agra,North,110,188,62,4.61,31,232,Poor,2016,2
2016-02-24,Agra,North,103,198,58,3.84,19,225,Poor,2016,2
2016-02-24,Agra,North,108,206,54,4.63,29,232,Poor,2016,2
2016-02-25,Agra,North,104,233,54,4.25,28,239,Poor,2016,2
2016-02-26,Agra,North,95,191,53,4.07,28,231,Poor,2016,2
2016-02-26,Agra,North,84,187,45,3.87,22,209,Poor,2016,2
2016-02-27,Agra,North,106,184,55,4.56,29,243,Poor,2016,2
2016-02-27,Agra,North,111,179,60,4.29,24,228,Poor,2016,2
2016-02-27,Agra,North,88,189,53,3.49,27,212,Poor,2016,2
2016-03-01,Agra,North,102,187,57,3.88,27,219,Poor,2016,3
